Date,Time,URL,Title,Location,Committee,Date Scraped,video_url
1/22/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=A4B58FE9-119B-4F4E-AEA7-001B64FCED4B,Oversight of the Economic Development Administration,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw012220&auto_play=false
1/15/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=5D6D8D4D-BEF5-4FBE-8C59-76A46C527286,One Year of Progress: An Update on Implementation of the Nuclear Energy Innovation and Modernization Act,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw011520&auto_play=false
1/14/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=DDEEC38C-F5B1-41F8-8887-C7954565BB48,Committee Business Meeting,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw011420&auto_play=false
1/8/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=E6FC40E5-8DBF-44EA-904D-248E338B7B2C,The Nonpoint Source Management Program Under the Clean Water Act: Perspectives from States,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw010820&auto_play=false
12/17/19,9:30 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=520A7C0B-0941-428B-A79E-CAF2B93E3A56,Committee Business Meeting,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw121719&auto_play=false
12/4/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=50F442A8-3C2D-40FC-9443-BF443311E1B8,Legislative Hearing on a bill to create a U.S. Fish and Wildlife Service Chronic Wasting Disease Task Force,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw120419&auto_play=false
12/3/19,3:00 PM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=FD310548-D16C-40F6-8AE8-14CE3959CB79,"Hearing on the Nomination of Robert J. Feitel, of Maryland, to be Inspector General of the Nuclear Regulatory Commission",,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw120319&auto_play=false
11/20/19,9:35 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=5211731D-F713-4E6B-817C-879AFCE62091,Committee Business Meeting,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw112019&auto_play=false
11/19/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=2C5DAB96-D66E-4D96-8886-D1D841AA6F6B,"Hearing on S. 1087, the Water Quality Certification Improvement Act of 2019, and Other Potential Reforms to Improve Implementation of Section 401 of the Clean Water Act: State Perspectives",,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw111919&auto_play=false
11/13/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=5AEB1502-8204-4B5A-8E67-8925DF0E69DD,"Preserving and Expanding Clean, Reliable Nuclear Power: U.S. Commercial Nuclear Reactor Performance Trends and Safety Initiatives",,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw111319&auto_play=false
11/6/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=9D9A2920-4591-4532-9D64-AE9F98437707,"Hearing on S. 2662, the Growing American Innovation Now (GAIN) Act",,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw110619&auto_play=false
10/30/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=A41178B1-B923-4C41-8915-311D2CBCF5EC,Hearing on the Nomination of Sean O’Donnell to be Inspector General of the Environmental Protection Agency,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw103019&auto_play=false
10/23/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=44BD2998-A955-42FF-8158-49DE2AD56DD3,Improving American Economic Competitiveness through Water Resources Infrastructure: Federal Panel,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw102319&auto_play=false
10/17/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=667304EE-7A09-4212-811D-935324B38919,Subcommittee Hearing on Reducing Emissions While Driving Economic Growth: Industry-led Initiatives,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw101719&auto_play=false
10/16/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=82E1CFDC-ECA0-4804-B5F4-F2D9A3BECB1D,Examining the Impacts of Diseases on Wildlife Conservation and Management,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw101619&auto_play=false
