,id,Witnesses,count
501,25639,Steven T. Mnuchin,7
502,20125,Olympia J. Snowe,7
503,28010,William B. Shear,7
504,2238,Bill Frist,7
505,25597,Steven Mnuchin,7
506,17262,Mark Begich,7
507,2611,Brendan Carr,7
508,10638,James Baker,7
509,15442,Kirsten Gillibrand,7
510,4097,Chris Spear,7
511,23513,Rohit Chopra,7
512,511,Alan F. Estevez,7
513,12767,John D. (Jay) Rockefeller,7
514,5479,Dave Mccurdy,7
515,25192,Stephen L. Caldwell,7
516,8225,Ethan Zindler,7
517,5586,David Bernhardt,7
519,28387,William Wehrum,7
520,26183,Terry J. Benedict,7
521,8183,Ernie Allen,7
522,17614,Marshall Billingslea,7
523,5138,Daniel Benjamin,7
524,8486,Francisco Palmieri,7
525,12118,Jessica Vaughan,7
526,26984,Todd J. Zinser,7
527,18560,Michael G. Vickers,7
528,14689,Kathleen Sgamma,7
529,25178,Stephen J. Hadley,7
530,5557,David B. Rivkin,7
531,11250,Jane G. Gravelle,7
532,17494,Mark Rey,7
533,11148,James White,7
534,20826,Peggy E. Gustafson,7
537,17439,Mark Macarro,7
538,12788,John D. Porcari,7
539,12025,Jerry Cerasale,7
540,26053,Ted Cruz,7
541,8386,Fatima Goss Graves,7
542,5532,David Albright,7
543,24172,Sandra Thompson,7
544,13575,Jon Leibowitz,7
546,11599,Jeff Merkley,7
547,23117,Robert O. Work,7
548,21880,Rebecca Gambler,7
549,21192,Philip M. Breedlovef,7
550,20221,Pamela Jones Harbour,7
551,8563,Frank Kendall Iii,7
552,14447,Karen Gordon Mills,7
553,28116,William F. Moran,7
554,16708,Lynn E. Turner,7
555,12712,John C. Rood,7
556,131,"""Paul ONeill""",7
557,12173,Jim Cason,7
558,12697,John C. Dugan,7
559,20688,Paul Misener,7
560,17092,Margot Saunders,7
561,13626,Jonathan Blum,7
562,5625,David C. Trimble,7
563,5451,Dave Camp,7
564,12997,John Hill,7
565,8075,Eric Rosenbach,7
566,27788,Walter Mccormick,6
567,790,Allan Coukell,6
568,26776,Tim S. Mcclain,6
569,18632,Michael J. Copps,6
570,21249,Phillip R. Herr,6
571,5890,David L. Cohen,6
572,12668,John Breaux,6
573,10671,James C. Mcconville,6
574,21468,R. Nicholas Burns,6
575,5708,David F. Heyman,6
576,27784,Walter Lukken,6
577,18654,Michael J. Kussman Ms,6
578,21296,Polly Trottenberg,6
579,27670,Vivek Kundra,6
580,25133,Stephen Entin,6
582,22409,Richard Serino,6
583,20229,Pamela Olson,6
584,23928,Ryan C. Crocker,6
586,15548,Kurt W. Tidd,6
587,21456,R. James Nicholson,6
588,9525,Gregory B. Jaczko,6
589,24184,Sandy Praeger,6
590,18740,Michael Leavitt,6
592,14795,Kay Brown,6
593,9163,George Slover,6
594,10497,Jack Valenti,6
595,13618,Jonathan B. Perlin,6
596,7562,Edward J. Demarco,6
597,2574,Brandon Judd,6
598,14824,Keith B. Alexander,6
599,20384,Patrick F. Kennedy,6
600,12633,John Barrasso,6
601,10612,James A. Winnefeld,6
602,2590,Brenda Burman,6
603,9221,Gerald M. Cross Faafp,6
604,13702,Jonathan S. Adelstein,6
605,18622,Michael Horowitz,6
606,16423,Lisa Madigan,6
607,869,Alphonso R. Jackson,6
608,12750,John Conyers,6
609,7663,Eileen R. Larence,6
610,25320,Steve Bartlett,6
611,12623,John B. Taylor,6
612,25314,Steve A. Linick,6
613,19619,Nancy J. Powell,6
614,10630,James B. Lockhart,6
615,16322,Linda Koontz,6
616,19656,Nancy Sutley,6
617,16435,Lisa P. Jackson,6
618,14597,Katherine G. Hammack,6
619,5644,David Cohen,6
620,17926,Mathy Stanislaus,6
621,5780,David H. Stevens,6
622,11531,Jeanne Shaheen,6
623,23956,Ryan Zinke,6
624,15102,Kenneth P. Rapuano,6
625,10697,James Comey,6
626,11284,Janet F. Kavinoky,6
627,6638,Derek Scissors,6
628,14413,Karan Bhatia,6
629,3279,Carlos M. Gutierrez,6
630,3285,Carlos Pascual,6
631,8144,Erik Sirri,6
632,23388,Rochelle Walensky,6
633,11258,Jane Lubchenco,6
634,19324,Miriam Nisbet,6
635,11266,Jane Oates,6
636,14145,"Jr.""",6
637,25879,Susan Schwab,6
638,22973,Robert Kadlec,6
639,27272,Tracy Toulou,6
640,1672,Arthur Levitt,6
641,14454,Karen Ignagni,6
642,16279,Linda Birnbaum,6
643,26275,Thea Lee,6
644,6537,Dennis C. Blair,6
645,15263,Kevin L. Perkins,6
646,25838,Susan M. Wachter,6
647,23471,Roger Johnson,6
648,19759,Neal S. Wolin,6
649,1541,Antony Blinken,6
650,20041,Norman R. Augustine,6
651,11298,Janet Mccabe,6
652,8665,Fred Krupp,6
653,27206,Tony Dearman,6
654,8479,Francis S. Collins,6
655,12558,Joey Hood,6
656,17483,Mark Pryor,6
657,3067,C. Fred Bergsten,6
658,23171,Robert R. King,6
659,17461,Mark N. Cooper,6
660,28320,William R. Merz,6
661,3055,Byron L. Dorgan,6
662,11156,James X. Dempsey,6
663,23201,Robert S. Litt,6
664,23210,Robert S. Walsh,6
665,27063,Tom Devine,6
666,27057,Tom Davis,6
667,8387,Fawn Sharp,6
668,22088,Richard A. Stone,6
669,16781,M.Ed.,6
670,22161,Richard D. Clarke,6
671,15074,Kenneth L. Wainstein,6
672,26138,Terrence Duffy,6
673,23251,Robert Sumwalt,6
674,14258,Julianne Smith,6
675,26007,Tammy Duckworth,6
676,26005,Tammy Baldwin,6
677,27162,Tom Tidwell,6
678,23095,Robert Meyers,6
679,17519,Mark Schneider,6
680,6701,Diana Moss,6
681,23320,Robert Zoellick,6
682,14400,Kamala Harris,6
683,22249,Richard Hillman,6
684,3418,Carolyn Lerner,6
685,14057,Joshua Gotbaum,6
687,22844,Robert F. Norton (Ret.),6
688,11359,Jared Bernstein,6
689,3062,C. Boyden Gray,6
690,3697,Charles E. Allen,6
691,223,A. Wess Mitchell,6
692,16555,Lori Swanson,6
693,20149,Orrin Hatch,6
694,18836,Michael P. Jackson,6
695,8942,Gary Shapiro,6
696,3739,Charles Grassley,6
697,3740,Charles Grim,6
698,3743,Charles H. Jacoby,6
699,22806,Robert E. Lighthizer,6
700,22252,Richard Hodes,6
701,15480,Kristen Clarke,6
702,27572,Victoria Espinel,6
703,17813,Mary J. Miller,6
704,11391,Jason Furman,6
705,21507,Rachel Greszler,6
706,19422,Morgan Reed,6
707,22357,Richard N. Haass,6
708,26414,Thomas F. Gimble,6
709,7893,Elliott Abrams,6
710,22763,Robert D. Atkinson,6
711,7868,Ellen M. Lord,6
712,18757,Michael M. Gilday,6
713,23735,Roscoe Butler,6
714,16572,Lou Celli,6
715,22870,Robert G. Mcswain,6
716,6247,David Wright,6
717,3485,Catherine Cortez Masto,6
718,8739,G. Edward Deseve,6
719,6385,Deborah Hersman,6
720,1460,Anthony Foxx,6
721,3503,Catherine M. Russell,6
722,8040,Eric K. Shinseki,6
723,27378,U.S.  Ted Stevens,6
724,6361,Deborah A.P. Hersman,6
725,1447,Anthony A. Williams,6
726,27382,U.S. Navy (Ret.),6
727,28438,Xavier Becerra,6
729,26323,Thomas A. Barthold,6
730,7210,Douglas Farah,6
731,26887,Timothy R. Petty,6
732,8027,Eric H. Holder,6
733,27405,Usmc,6
734,26872,Timothy Muris,6
735,25690,Stuart Levey,6
736,6293,Dean Heller,6
737,3589,Chad Berginnis,6
738,23659,Ronald Kirk,6
739,12380,Joann Johnson,6
740,17289,Mark Calabria,6
741,16950,Marc Lackritz,6
742,12452,Joe Garcia,6
743,26495,Thomas J. Ridge,6
744,5494,Daveed Gartenstein-Ross,6
745,4703,Cory Gardner,6
746,16083,Leo Hindery,6
